key,2024-09-28,2024-07-10,2024-06-29,2023-12-31,2023-09-30,2023-08-14,2023-07-01,2023-01-03,2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,15409000000,,,,15363000000,,,,
CostOfGoodsAndServicesSold,9415000000,,,,9435000000,,,,
SellingGeneralAndAdministrativeExpense,6392000000,,,,6313000000,,,,
ResearchAndDevelopmentExpense,1016000000,,,,1010000000,,,,
RestructuringAndOtherCostsIncomeNet,4000000,,,,379000000,,,,
CostsAndExpenses,26163000000,,,,26966000000,,,,
OperatingIncomeLoss,6987000000,,,,7260000000,,,,
InvestmentIncomeInterest,851000000,,,,570000000,,,,
InterestExpenseNonoperating,1073000000,,,,985000000,,,,
OtherNonoperatingIncomeExpense,-2000000,,,,-32000000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,5096000000,,,,4558000000,,,,
IncomeTaxExpenseBenefit,507000000,,,,151000000,,,,
IncomeLossFromEquityMethodInvestments,-75000000,,,,-58000000,,,,
ProfitLoss,4514000000,,,,4349000000,,,,
NetIncomeLossAttributableToNoncontrollingInterest,9000000,,,,-16000000,,,,
NetIncomeLossAvailableToCommonStockholdersBasic,4505000000,,,,4365000000,,,,
EarningsPerShareBasic,11.79,,,,11.31,,,,
EarningsPerShareDiluted,11.75,,,,11.25,,,,
WeightedAverageNumberOfSharesOutstandingBasic,382000000,,,,386000000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,383000000,,,,388000000,,,,
