key,2024-01-31,2023-10-31,2023-01-31,2022-10-31
NetIncomeLoss,348000000,,352000000,
DepreciationDepletionAndAmortization,62000000,,67000000,
ShareBasedCompensation,44000000,,44000000,
DeferredIncomeTaxExpenseBenefit,0,,4000000,
InventoryWriteDown,11000000,,7000000,
EquitySecuritiesFvNiGainLoss,3000000,,-10000000,
AssetImpairmentCharges,8000000,,0,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,0,,1000000,
OtherNoncashIncomeExpense,6000000,,-1000000,
IncreaseDecreaseInAccountsReceivable,-10000000,,5000000,
IncreaseDecreaseInInventories,9000000,,69000000,
IncreaseDecreaseInAccountsPayable,84000000,,-27000000,
IncreaseDecreaseInEmployeeRelatedLiabilities,-104000000,,-174000000,
IncreaseDecreaseInOtherOperatingCapitalNet,-40000000,,-85000000,
NetCashProvidedByUsedInOperatingActivities,485000000,,296000000,
PaymentsToAcquirePropertyPlantAndEquipment,90000000,,76000000,
PaymentsToAcquireEquitySecuritiesFvNi,0,,1000000,
ProceedsFromSaleOfEquitySecuritiesFvNi,0,,4000000,
PaymentsToAcquireNotesReceivable,5000000,,3000000,
ProceedsFromCollectionOfNotesReceivable,0,,2000000,
PaymentsToAcquireBusinessesNetOfCashAcquired,0,,30000000,
NetCashProvidedByUsedInInvestingActivities,-95000000,,-104000000,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,34000000,,35000000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,25000000,,51000000,
PaymentsOfOrdinaryDividends,69000000,,67000000,
RepaymentsOfLongTermDebt,180000000,,0,
ProceedsFromRepaymentsOfShortTermDebt,0,,203000000,
PaymentForContingentConsiderationLiabilityFinancingActivities,0,,62000000,
PaymentsForRepurchaseOfCommonStock,0,,75000000,
NetCashProvidedByUsedInFinancingActivities,-240000000,,-17000000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,7000000,,22000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,157000000,,197000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1750000000,1593000000,1253000000,1056000000
IncomeTaxesPaidNet,24000000,,17000000,
InterestPaidNet,14000000,,15000000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-16000000,,-20000000,
