key,2024-06-29,2024-03-30,2023-12-31,2023-07-01,2023-04-01,2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,1345368000,,,1425250000,,
CostOfGoodsAndServicesSold,221012000,,,210748000,,
SellingGeneralAndAdministrativeExpense,347783000,,,368909000,,
ResearchAndDevelopmentExpense,90777000,,,88564000,,
AmortizationOfAcquisitionCosts,23578000,,,8294000,,
GainLossRelatedToLitigationSettlement,-10242000,,,0,,
CostsAndExpenses,1022410000,,,1051223000,,
OperatingIncomeLoss,322958000,,,374027000,,
OtherNonoperatingIncomeExpense,1957000,,,1036000,,
InterestExpense,49246000,,,37716000,,
InvestmentIncomeInterest,8599000,,,8101000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,284268000,,,345448000,,
IncomeTaxExpenseBenefit,39335000,,,53971000,,
NetIncomeLossAvailableToCommonStockholdersBasic,244933000,,,291477000,,
EarningsPerShareBasic,4.13,,,4.97,,
WeightedAverageNumberOfSharesOutstandingBasic,59287000,,,58703000,,
EarningsPerShareDiluted,4.12,,,4.95,,
WeightedAverageNumberOfDilutedSharesOutstanding,59445000,,,58909000,,
