key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,601500000,,,493767000,,
CostOfGoodsAndServicesSold,2255106000,,,2075715000,,
SellingGeneralAndAdministrativeExpense,351178000,,,343181000,,
CostsAndExpenses,2606284000,,,2418896000,,
OperatingIncomeLoss,864730000,,,824332000,,
InterestExpenseNonoperating,65844000,,,39292000,,
OtherNonoperatingIncomeExpense,-547000,,,-9057000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,798339000,,,775983000,,
IncomeTaxExpenseBenefit,149713000,,,146029000,,
NetIncomeLoss,648626000,,,629954000,,
EarningsPerShareBasic,2.80,,,2.74,,
EarningsPerShareDiluted,2.79,,,2.72,,
WeightedAverageNumberOfSharesOutstandingBasic,231267000,,,230302000,,
WeightedAverageNumberOfDilutedSharesOutstanding,232170000,,,231245000,,
CommonStockDividendsPerShareCashPaid,0.56,,,0.50,,
