key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
ProfitLoss,648626000,,,629954000,,
DepreciationAndAmortization,196681000,,,163935000,,
DeferredIncomeTaxesAndTaxCredits,-21946000,,,-38144000,,
ShareBasedCompensation,13223000,,,12581000,,
GainLossOnSaleOfFacilities,995000,,,0,,
IncreaseDecreaseInOperatingCapital,41144000,,,51627000,,
PensionContributions,2924000,,,2880000,,
OtherNoncashIncomeExpense,8800000,,,2315000,,
NetCashProvidedByUsedInOperatingActivities,791662000,,,721783000,,
PaymentsToAcquirePropertyPlantAndEquipment,49068000,,,47835000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,0,,,99266000,,
ProceedsFromDivestitureOfBusinesses,657000,,,0,,
ProceedsFromSaleOfFacilities,4246000,,,0,,
PaymentsForProceedsFromOtherInvestingActivities,-616000,,,2886000,,
NetCashProvidedByUsedInInvestingActivities,-43549000,,,-149987000,,
ProceedsFromRepaymentsOfShortTermDebt,-640611000,,,-219610000,,
PaymentsForRepurchaseOfCommonStock,7595000,,,6524000,,
PaymentsOfDividendsCommonStock,129411000,,,115071000,,
ProceedsFromStockOptionsExercised,34524000,,,29055000,,
ProceedsFromPaymentsForOtherFinancingActivities,-8557000,,,-4941000,,
NetCashProvidedByUsedInFinancingActivities,-751650000,,,-317091000,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-9694000,,,5496000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-13231000,,,260201000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,396573000,,409804000,605587000,,345386000
