key,2025-03-31,2025-01-31,2024-12-31,2024-03-31,2023-12-31
OperatingLeaseLeaseIncome,419836000,,,411669000,
RevenueFromContractWithCustomerExcludingAssessedTax,2100000,,,2000000,
Revenues,90121000,,,76256000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,42420000,,,34935000,
RealEstateTaxesAndInsurance,58745000,,,58795000,
PropertyManagementCostsOperating,13645000,,,13379000,
OtherCostAndExpenseOperating,8059000,,,6828000,
DepreciationNonproduction,40973000,,,36962000,
GeneralAndAdministrativeExpense,19495000,,,17810000,
CasualtyRelatedRecoveriesChargesNet,3297000,,,6278000,
OtherDepreciationAndAmortization,7067000,,,4316000,
CostsAndExpenses,347692000,,,350742000,
GainsLossesOnSalesOfInvestmentRealEstate,47939000,24400000,,16867000,
OperatingIncomeLoss,6728000,,,4359000,
IncomeLossFromEquityMethodInvestments,5814000,,,9085000,
InterestExpenseDebt,42279000,,,24537000,
OtherNonoperatingIncomeExpense,3042000,,,-1828000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,82229000,,,46647000,
IncomeTaxExpenseBenefit,158000,,,337000,
ProfitLoss,-16897000,,,5394000,
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,5339000,,,3149000,
NetIncomeLossAttributableToNonredeemableNoncontrollingInterest,100000,,,100000,
NetIncomeLoss,76720000,,,43149000,
DividendsPreferredStock,1206000,,,1231000,
NetIncomeLossAvailableToCommonStockholdersBasic,75514000,,,41918000,
EarningsPerShareBasic,0.23,,,0.13,
EarningsPerShareDiluted,0.23,,,0.13,
WeightedAverageNumberOfSharesOutstandingBasic,330628000,,,328823000,
WeightedAverageNumberOfDilutedSharesOutstanding,331717000,,,328954000,
